"query_id","query_name","source_mod","classification","when_true","when_false","world_knowledge_topics","consumer_count"
"1533310-Dialogue.mod","Phoenix, Seta and Valtena are not okay","Dialogue.mod","durable_world_fact","World state: Holy Lord Phoenix is not alive; High Inquisitor Seta is not alive; High Inquisitor Valtena is not alive; the player was involved in at least one of these changes.",,"High Inquisitor Seta | High Inquisitor Valtena | Holy Lord Phoenix","5"
"1533311-Dialogue.mod","All nobles are not alive","Dialogue.mod","durable_world_fact","World state: Lady Tsugi is not alive; Lady Sanda is not alive; Lord Yoshinaga is not alive; Lord Inaba is not alive; Lord Nagata is not alive; Emperor Tengu is not alive.",,"Emperor Tengu | Lady Sanda | Lady Tsugi | Lord Inaba | Lord Nagata | Lord Yoshinaga","18"
"1533328-__world reactions Shek.mod","Mukai is alive","rebirth.mod","durable_world_fact","World state: Mukai The Mountain is alive.","World state: Mukai The Mountain is not alive.","Mukai the Mountain | Squin","7"
"1533501-__world reactions Slavers.mod","Slave Market Master is alive","rebirth.mod","durable_world_fact","World state: Slave Market Master is alive.","World state: Slave Market Master is not alive.","Clownsteady | Manhunter Base","6"
"1533502-__world reactions Slavers.mod","Slave Master Grande is alive","rebirth.mod","durable_world_fact","World state: Slave Master Grande is alive.","World state: Slave Master Grande is not alive.","Brink | Cult Village | Eyesocket | Heng | Slave Master Grande | Trader's Edge","10"
"1533503-__world reactions Slavers.mod","Slave Master Haga is alive","rebirth.mod","durable_world_fact","World state: Slave Master Haga is alive.","World state: Slave Master Haga is not alive.","Slave Master Haga | Stoat | Stone Camp","8"
"1533504-__world reactions Slavers.mod","Slave Master Ruben is alive","rebirth.mod","durable_world_fact","World state: Slave Master Ruben is alive.","World state: Slave Master Ruben is not alive.","Heft | Heng | Slave Master Ruben | South Stone Camp | Trader's Edge","10"
"1533505-__world reactions Slavers.mod","Slave Master Wada is alive","rebirth.mod","durable_world_fact","World state: Slave Master Wada is alive.","World state: Slave Master Wada is not alive.","Bark | Heft | Port South | Slave Master Wada","7"
"1533506-__world reactions Slavers.mod","Slave Mistress Grace is alive","rebirth.mod","durable_world_fact","World state: Slave Mistress Grace is alive.","World state: Slave Mistress Grace is not alive.","Clownsteady | Drifter's Last | Manhunter Base | Slave Mistress Grace","7"
"1533507-__world reactions Slavers.mod","Slave Mistress Ren is alive","rebirth.mod","durable_world_fact","World state: Slave Mistress Ren is alive.","World state: Slave Mistress Ren is not alive.","Heft | Heng | Slave Farm | Slave Mistress Ren | Stoat | Trader's Edge","15"
"1533661-__world reactions Slavers.mod","Tinfist is alive","rebirth.mod","durable_world_fact","World state: Tinfist is alive.","World state: Tinfist is not alive.","Cult Village | Settled Nomads | Tinfist","12"
"1533690-__world reactions Slavers.mod","All North Slave Masters are not alive","rebirth.mod","durable_world_fact","World state: Slave Master Wada is dead; Slave Mistress Ren is dead; Slave Master Haga is dead; Slave Master Ruben is dead; Slave Master Grande is dead; Lady Kana is dead; Longen is dead; Slave Master Wada is not alive; Slave Mistress Ren is not alive; Slave Master Haga is not alive; Slave Master Ruben is not alive; Slave Master Grande is not alive; Lady Kana is not alive; Longen is not alive.",,"Lady Kana | Longen | Slave Master Grande | Slave Master Haga | Slave Master Ruben | Slave Master Wada | Slave Mistress Ren","5"
"1533699-__world reactions Slavers.mod","All South Slave Masters are not alive","rebirth.mod","durable_world_fact","World state: Slave Mistress Grace is dead; Slave Market Master is dead; Slave Mistress Grace is not alive; Slave Market Master is not alive.",,"Slave Mistress Grace","2"
"1533705-__world reactions Slavers.mod","Merin is alive","rebirth.mod","durable_world_fact","World state: Lady Merin is alive.","World state: Lady Merin is not alive.","Drifter's Last | Lady Merin","4"
"1533710-__world reactions Slavers.mod","Lord Shiro is alive","rebirth.mod","durable_world_fact","World state: Lord Shiro is alive.","World state: Lord Shiro is not alive.","Catun | Lord Shiro","1"
"1533716-__world reactios swamp.mod","Big Darkbrow is alive","rebirth.mod","durable_world_fact","World state: Big Darkbrow is alive.","World state: Big Darkbrow is not alive.","Big Darkbrow | Rot | Shark","4"
"1533739-__world reactios swamp.mod","All South Bosses are not alive","rebirth.mod","durable_world_fact","World state: Slave Mistress Grace is dead; Slave Market Master is dead; Lady Merin is dead; Slave Mistress Grace is not alive; Slave Market Master is not alive; Lady Merin is not alive.",,"Lady Merin | Slave Mistress Grace","1"
"1533825-rebirth.mod","beep is ok","rebirth.mod","durable_world_fact","World state: Beep is alive.","World state: Beep is not alive.","Beep","1"
"1533826-rebirth.mod","agnu is dead","rebirth.mod","durable_world_fact","World state: Agnu is dead.","World state: Agnu is not dead.","Agnu","1"
"1533834-rebirth.mod","nthnth","rebirth.mod","ambiguous_empty_query",,,"","0"
"1533844-rebirth.mod","beep is dead","rebirth.mod","durable_world_fact","World state: Beep is dead.","World state: Beep is not dead.","Beep","1"
"1534045-rebirth.mod","WORLD_EVENT_STATE","rebirth.mod","ambiguous_empty_query",,,"","0"
"1534047-rebirth.mod","cat-lon alive","rebirth.mod","durable_world_fact","World state: Mad Cat-Lon is alive.","World state: Mad Cat-Lon is not alive.","Mad Cat-Lon","5"
"1534164-__Fixes.mod","Seta and Valtena are not okay","rebirth.mod","durable_world_fact","World state: High Inquisitor Seta is not alive; High Inquisitor Valtena is not alive; the player was involved in at least one of these changes.",,"High Inquisitor Seta | High Inquisitor Valtena","1"
"1534371-Dialogue.mod","Tinfist, Simion and Valtena all not alive","Dialogue.mod","durable_world_fact","World state: Tinfist is not alive; High Inquisitor Valtena is not alive; Boss Simion is not alive.",,"Boss Simion | High Inquisitor Valtena | Tinfist","2"
"1534461-__Fixes.mod","All North Slave Masters are alive","rebirth.mod","durable_world_fact","World state: Slave Master Wada is alive; Slave Mistress Ren is alive; Slave Master Haga is alive; Slave Master Ruben is alive; Slave Master Grande is alive; Lady Kana is alive; Longen is alive.",,"Lady Kana | Longen | Slave Master Grande | Slave Master Haga | Slave Master Ruben | Slave Master Wada | Slave Mistress Ren","3"
"1534462-__Fixes.mod","All South Slave Masters are alive","rebirth.mod","durable_world_fact","World state: Slave Mistress Grace is alive; Slave Market Master is alive.",,"Slave Mistress Grace","3"
"57392-rebirth.mod","holy phoenix okay","rebirth.mod","durable_world_fact","World state: Holy Lord Phoenix is alive.","World state: Holy Lord Phoenix is not alive.","Bad Teeth | Blister Hill | Holy Lord Phoenix | Holy Mines | Okran's Fist | Rebirth | Stack","95"
"58291-Dialogue.mod","Player killed Phoenix","Dialogue.mod","durable_world_fact","World state: Holy Lord Phoenix is dead; the player was involved in at least one of these changes.",,"Holy Lord Phoenix","8"
"58292-Dialogue.mod","Player killed bugmaster","Dialogue.mod","durable_world_fact","World state: Bugmaster is dead; the player was involved in at least one of these changes.",,"Bugmaster","12"
"58299-Dialogue.mod","Bugmaster and Phoenix are alive","Dialogue.mod","durable_world_fact","World state: Holy Lord Phoenix is alive; Bugmaster is alive; the player was involved in at least one of these changes.",,"Bugmaster | Holy Lord Phoenix","23"
"58522-Dialogue.mod","Bugmaster is not okay (p","Dialogue.mod","durable_world_fact","World state: Bugmaster is not alive; the player was involved in at least one of these changes.",,"Bugmaster","24"
"58523-Dialogue.mod","Holy phoenix is not okay","Dialogue.mod","durable_world_fact","World state: Holy Lord Phoenix is not alive; the player was involved in at least one of these changes.",,"Holy Lord Phoenix","41"
"58586-Dialogue.mod","Esata Imprisoned by player","Dialogue.mod","durable_world_fact","World state: Esata the Stone Golem is imprisoned; the player was involved in at least one of these changes.",,"Esata the Stone Golem","6"
"58591-Dialogue.mod","Seto is not alive","Dialogue.mod","durable_world_fact","World state: Seto is not alive; the player was involved in at least one of these changes.",,"Admag | Seto","11"
"58592-Dialogue.mod","Bayan is not alive","Dialogue.mod","durable_world_fact","World state: Bayan is not alive; the player was involved in at least one of these changes.",,"Bayan","7"
"58595-Dialogue.mod","Player killed Esata","Dialogue.mod","durable_world_fact","World state: Esata the Stone Golem is dead; the player was involved in at least one of these changes.",,"Esata the Stone Golem","9"
"59029-Dialogue.mod","Tinfist is not alive","Dialogue.mod","durable_world_fact","World state: Tinfist is not alive; the player was involved in at least one of these changes.",,"Heng | The Free City | Tinfist | Trader's Edge","63"
"59123-Dialogue.mod","WORLD_EVENT_STATE","Dialogue.mod","ambiguous_empty_query",,,"","0"
"59166-Dialogue.mod","Seta and Valtena are alive","Dialogue.mod","durable_world_fact","World state: High Inquisitor Seta is alive; High Inquisitor Valtena is alive; the player was involved in at least one of these changes.",,"High Inquisitor Seta | High Inquisitor Valtena","8"
"59583-Dialogue.mod","Tengu is alive","Dialogue.mod","durable_world_fact","World state: Emperor Tengu is alive.","World state: Emperor Tengu is not alive.","Bad Teeth | Bark | Drin | Emperor Tengu | Fort Simion | Heft | Heng | Okran's Shield | Sho-Battai | Stoat | Trader's Edge","64"
"59584-Dialogue.mod","Kana is alive","Dialogue.mod","durable_world_fact","World state: Lady Kana is alive; the player was involved in at least one of these changes.",,"Bark | Lady Kana | Port North","19"
"59585-Dialogue.mod","Longen is alive","Dialogue.mod","durable_world_fact","World state: Longen is alive; the player was involved in at least one of these changes.",,"Bad Teeth | Cult Village | Heft | Heng | Holy Mines | Longen | Port South | Settled Nomads | The Free City | Trader's Edge","55"
"59685-Dialogue.mod","Player is ally of Shek Kingdom","Dialogue.mod","durable_world_fact","World state: Shek Kingdom is allied with the player faction.","World state: Shek Kingdom is not allied with the player faction.","Okran's Shield | Shek Kingdom","34"
"59743-Dialogue.mod","Player is ally of HN","Dialogue.mod","durable_world_fact","World state: The Holy Nation is allied with the player faction.","World state: The Holy Nation is not allied with the player faction.","The Holy Nation","39"
"59744-Dialogue.mod","Player is ally of UC","Dialogue.mod","durable_world_fact","World state: United Cities is allied with the player faction.","World state: United Cities is not allied with the player faction.","United Cities","51"
"59745-Dialogue.mod","Player is ally of Traders Guild","Dialogue.mod","durable_world_fact","World state: Traders Guild is allied with the player faction.","World state: Traders Guild is not allied with the player faction.","Traders Guild","31"
"59750-Dialogue.mod","Player is not ally of UC, HN, TG","Dialogue.mod","durable_world_fact","World state: The Holy Nation is not allied with the player faction; Slave Traders is not allied with the player faction; Traders Guild is not allied with the player faction; United Cities is not allied with the player faction.",,"Slave Traders | The Holy Nation | Traders Guild | United Cities","59"
"59782-Dialogue.mod","Player is enemy of Shek Kingdom","Dialogue.mod","durable_world_fact","World state: Shek Kingdom is an enemy of the player faction; the player was involved in at least one of these changes.",,"Shek Kingdom","3"
"59784-Dialogue.mod","Player killed/napped esata","Dialogue.mod","durable_world_fact","World state: Esata the Stone Golem is not alive; the player was involved in at least one of these changes.",,"Esata the Stone Golem","29"
"59817-Dialogue.mod","Player is ally of Flotsam","Dialogue.mod","durable_world_fact","World state: Flotsam Ninjas is allied with the player faction.","World state: Flotsam Ninjas is not allied with the player faction.","Flotsam Ninjas","28"
"59881-Dialogue.mod","Seta is alive","Dialogue.mod","durable_world_fact","World state: High Inquisitor Seta is alive; the player was involved in at least one of these changes.",,"Bad Teeth | Blister Hill | High Inquisitor Seta | Holy Mines | Rebirth | Stack","68"
"59882-Dialogue.mod","Valtena is alive","Dialogue.mod","durable_world_fact","World state: High Inquisitor Valtena is alive; the player was involved in at least one of these changes.",,"Bad Teeth | Blister Hill | Drin | High Inquisitor Valtena | Okran's Fist | Okran's Shield | Rebirth","67"
"59927-Dialogue.mod","Player is ally of Anti slavers","Dialogue.mod","durable_world_fact","World state: Anti-Slavers is allied with the player faction.","World state: Anti-Slavers is not allied with the player faction.","Anti-Slavers","91"
"59978-Dialogue.mod","Moll is not okay","Dialogue.mod","durable_world_fact","World state: Moll is not alive; the player was involved in at least one of these changes.",,"Moll","12"
"60098-Dialogue.mod","Player killed/knapped Tengu","Dialogue.mod","durable_world_fact","World state: Emperor Tengu is not alive; the player was involved in at least one of these changes.",,"Emperor Tengu","18"
"60413-Dialogue.mod","Player killed/knapped Eyegore","Dialogue.mod","durable_world_fact","World state: Eyegore is not alive; the player was involved in at least one of these changes.",,"Eyegore","21"
"60659-Dialogue.mod","Tengu killed","Dialogue.mod","durable_world_fact","World state: Emperor Tengu is dead; the player was involved in at least one of these changes.",,"Emperor Tengu","2"
"60660-Dialogue.mod","Tengu imprisoned","Dialogue.mod","durable_world_fact","World state: Emperor Tengu is imprisoned; the player was involved in at least one of these changes.",,"Emperor Tengu","2"
"60730-Dialogue.mod","Grey is not alive","Dialogue.mod","durable_world_fact","World state: Grey is not alive; the player was involved in at least one of these changes.",,"Grey","6"
"60731-Dialogue.mod","Jaegar is not alive","Dialogue.mod","durable_world_fact","World state: Jaegar is not alive; the player was involved in at least one of these changes.",,"Jaegar","17"
"60733-Dialogue.mod","Bo is not alive","Dialogue.mod","durable_world_fact","World state: Bo is not alive; the player was involved in at least one of these changes.",,"Bo","18"
"60964-Dialogue.mod","Player is enemy of Holy Nation","Dialogue.mod","durable_world_fact","World state: The Holy Nation is an enemy of the player faction.","World state: The Holy Nation is not an enemy of the player faction.","The Holy Nation","6"
"61004-Dialogue.mod","Player is enemy of UC","Dialogue.mod","durable_world_fact","World state: United Cities is an enemy of the player faction.","World state: United Cities is not an enemy of the player faction.","United Cities","14"
"61430-Dialogue.mod","Player is enemy of Slave Traders","Dialogue.mod","durable_world_fact","World state: Slave Traders is an enemy of the player faction.","World state: Slave Traders is not an enemy of the player faction.","Slave Traders","6"
"61467-Dialogue.mod","Lord Inaba is not alive","Dialogue.mod","durable_world_fact","World state: Lord Inaba is not alive; the player was involved in at least one of these changes.",,"Lord Inaba","3"
"61468-Dialogue.mod","Lord Nagata is not alive","Dialogue.mod","durable_world_fact","World state: Lord Nagata is not alive; the player was involved in at least one of these changes.",,"Lord Nagata","2"
"61469-Dialogue.mod","Lord Ohta is not alive","Dialogue.mod","durable_world_fact","World state: Lord Ohta is not alive; the player was involved in at least one of these changes.",,"Lord Ohta","2"
"61470-Dialogue.mod","Lord Yoshinaga is not alive","Dialogue.mod","durable_world_fact","World state: Lord Yoshinaga is not alive; the player was involved in at least one of these changes.",,"Lord Yoshinaga","4"
"61471-Dialogue.mod","Lord Sanda is not alive","Dialogue.mod","durable_world_fact","World state: Lady Sanda is not alive; the player was involved in at least one of these changes.",,"Lady Sanda","2"
"61472-Dialogue.mod","Lady Tsugi is not alive","Dialogue.mod","durable_world_fact","World state: Lady Tsugi is not alive; the player was involved in at least one of these changes.",,"Brink | Lady Tsugi | Okran's Shield","8"
"61569-Dialogue.mod","Player is enemy of Hounds","Dialogue.mod","durable_world_fact","World state: Hounds is an enemy of the player faction.","World state: Hounds is not an enemy of the player faction.","Hounds","9"
"61570-Dialogue.mod","Grimm is not alive","Dialogue.mod","durable_world_fact","World state: Big Grim is not alive; the player was involved in at least one of these changes.",,"Big Grim | Grayflayer Village | Rot | Shark","15"
"61604-Dialogue.mod","Player is enemy of Traders Guild","Dialogue.mod","durable_world_fact","World state: Traders Guild is an enemy of the player faction.","World state: Traders Guild is not an enemy of the player faction.","Traders Guild","5"
"61669-Dialogue.mod","Player is ally of Hounds","Dialogue.mod","durable_world_fact","World state: Hounds is allied with the player faction.","World state: Hounds is not allied with the player faction.","Hounds","13"
"61818-Dialogue.mod","Player kidnapped Phoenix","Dialogue.mod","durable_world_fact","World state: Holy Lord Phoenix is imprisoned; the player was involved in at least one of these changes.",,"Holy Lord Phoenix","1"
"62347-Dialogue.mod","WORLD_EVENT_STATE","Dialogue.mod","ambiguous_empty_query",,,"","0"
"62377-rebirth.mod","south hive queen okay","rebirth.mod","durable_world_fact","World state: Queen of the South is alive.","World state: Queen of the South is not alive.","Queen of the South | Skinhouse","14"
"62729-Dialogue.mod","Player is enemy of Hive","Dialogue.mod","durable_world_fact","World state: Western Hive is an enemy of the player faction.","World state: Western Hive is not an enemy of the player faction.","Western Hive","2"
"62810-rebirth.mod","skeleton bandit king is OK","rebirth.mod","durable_world_fact","World state: Elder is alive.","World state: Elder is not alive.","Elder | Skeleton Bandits","8"
"62829-rebirth.mod","crab bandit queen is OK","rebirth.mod","durable_world_fact","World state: Crab Queen is alive.","World state: Crab Queen is not alive.","Ark | Crab Queen | Crab Town | Crab Village","14"
"62862-rebirth.mod","red sabre boss ok","rebirth.mod","durable_world_fact","World state: Red Sabre Boss is alive.","World state: Red Sabre Boss is not alive.","Red Sabre Boss","4"
"63144-rebirth.mod","conscript bandit boss is OK","rebirth.mod","ambiguous_empty_query",,,"","2"
"63185-Dialogue.mod","Player is ally of Skin bandits","Dialogue.mod","durable_world_fact","World state: Skin Bandits is allied with the player faction.","World state: Skin Bandits is not allied with the player faction.","Skin Bandits","6"
"63186-Dialogue.mod","Player is ally of Skeleton bandits","Dialogue.mod","durable_world_fact","World state: Skeleton Bandits is allied with the player faction.","World state: Skeleton Bandits is not allied with the player faction.","Skeleton Bandits","6"
"63187-Dialogue.mod","Player is ally of crab raiders","Dialogue.mod","durable_world_fact","World state: Crab Raiders is allied with the player faction.","World state: Crab Raiders is not allied with the player faction.","Crab Raiders","9"
"63744-rebirth.mod","dust king ALIVE","rebirth.mod","durable_world_fact","World state: Dust King is not dead.","World state: Dust King is dead.","Dust King","1"
"63880-Dialogue.mod","Skin bandit boss ok","Dialogue.mod","durable_world_fact","World state: Savant is alive.","World state: Savant is not alive.","Savant | Skinhouse | Skinhouse HQ","6"
"63881-Dialogue.mod","Skeleton bandit boss ok","Dialogue.mod","ambiguous_empty_query",,,"","0"
"64340-Dialogue.mod","Big Gray is alive","Dialogue.mod","durable_world_fact","World state: Big Gray is alive; the player was involved in at least one of these changes.",,"Big Gray | Grayflayer Village | Rot | Shark","6"
"64400-Dialogue.mod","Player is ally of Slave Traders","Dialogue.mod","durable_world_fact","World state: Slave Traders is allied with the player faction.","World state: Slave Traders is not allied with the player faction.","Slave Traders","2"
"64410-Dialogue.mod","Player is enemy of Anti Slavers","Dialogue.mod","durable_world_fact","World state: Anti-Slavers is an enemy of the player faction.","World state: Anti-Slavers is not an enemy of the player faction.","Anti-Slavers","5"
"64859-rebirth.mod","spider factory is alive","rebirth.mod","durable_world_fact","World state: Spider Foreman is alive.","World state: Spider Foreman is not alive.","Spider Factory | Spider Foreman","4"
"65302-Dialogue.mod","WORLD_EVENT_STATE","Dialogue.mod","ambiguous_empty_query",,,"","0"
"65565-Dialogue.mod","Tengu dead, Longen alive","Dialogue.mod","durable_world_fact","World state: Longen is alive; Emperor Tengu is not alive; the player was involved in at least one of these changes.",,"Emperor Tengu | Longen","5"
"65632-Dialogue.mod","Bugmaster and Phoenix are NOT alive","Dialogue.mod","durable_world_fact","World state: Holy Lord Phoenix is not alive; Bugmaster is not alive; the player was involved in at least one of these changes.",,"Bugmaster | Holy Lord Phoenix","1"
"66167-Dialogue.mod","Holy phoenix is dead","Dialogue.mod","durable_world_fact","World state: Holy Lord Phoenix is dead; the player was involved in at least one of these changes.",,"Holy Lord Phoenix","3"
"66198-Dialogue.mod","Player is not ally of Shek, HN, A-S","Dialogue.mod","durable_world_fact","World state: The Holy Nation is not allied with the player faction; Shek Kingdom is not allied with the player faction; Anti-Slavers is not allied with the player faction.",,"Anti-Slavers | Shek Kingdom | The Holy Nation","5"
"66290-rebirth.mod","Yabuta is alive","rebirth.mod","durable_world_fact","World state: Yabuta of the Sands is alive.","World state: Yabuta of the Sands is not alive.","Stoat","9"
"66299-Dialogue.mod","Ghost bounty caught","Dialogue.mod","durable_world_fact","World state: Ghost is not alive; the player was involved in at least one of these changes.",,"Ghost","2"
"66300-Dialogue.mod","Flying bull bounty caught","Dialogue.mod","durable_world_fact","World state: Flying Bull is not alive; the player was involved in at least one of these changes.",,"Flying Bull","2"
"66315-Dialogue.mod","Savant bounty caught","Dialogue.mod","durable_world_fact","World state: Savant is not alive; the player was involved in at least one of these changes.",,"Savant","4"
"66327-Dialogue.mod","Simion bounty caught","Dialogue.mod","durable_world_fact","World state: Boss Simion is not alive; the player was involved in at least one of these changes.",,"Boss Simion","3"
"66486-Dialogue.mod","Grim imprisoned","Dialogue.mod","durable_world_fact","World state: Big Grim is imprisoned; the player was involved in at least one of these changes.",,"Big Grim","1"
"66521-Dialogue.mod","Longen kidnapped by player","Dialogue.mod","durable_world_fact","World state: Longen is imprisoned; the player was involved in at least one of these changes.",,"Longen","1"
"66522-Dialogue.mod","Longen killed by player","Dialogue.mod","durable_world_fact","World state: Longen is dead; the player was involved in at least one of these changes.",,"Longen","2"
"96078-rebirth.mod","valamon is alive (reavers)","rebirth.mod","durable_world_fact","World state: Valamon is alive.","World state: Valamon is not alive.","Ark | Brink | Crab Village | Okran's Shield | Valamon","16"
"96350-Dialogue.mod","Hive queen kidnapped WEST","Dialogue.mod","durable_world_fact","World state: The Queen is imprisoned; the player was involved in at least one of these changes.",,"The Queen","2"
"96401-rebirth.mod","thrall masters defeated","rebirth.mod","durable_world_fact","World state: Ponk is not alive; Screamer the False is not alive.",,"Ponk | Screamer the False","2"
"96495-Dialogue.mod","Bugmaster, Esata and Phoenix are alive","Dialogue.mod","durable_world_fact","World state: Holy Lord Phoenix is alive; Esata the Stone Golem is alive; Bugmaster is alive; the player was involved in at least one of these changes.",,"Bugmaster | Esata the Stone Golem | Holy Lord Phoenix","7"
"96537-Dialogue.mod","Player is ally of Reavers","Dialogue.mod","durable_world_fact","World state: Reavers is allied with the player faction.","World state: Reavers is not allied with the player faction.","Reavers","1"
"96588-Dialogue.mod","All leaders are alive","Dialogue.mod","durable_world_fact","World state: Holy Lord Phoenix is alive; Esata the Stone Golem is alive; Bugmaster is alive; Emperor Tengu is alive; Longen is alive; the player was involved in at least one of these changes.",,"Bugmaster | Emperor Tengu | Esata the Stone Golem | Holy Lord Phoenix | Longen","1"
"96616-Dialogue.mod","Gurgler boss is alive","Dialogue.mod","durable_world_fact","World state: King Gurgler is alive.","World state: King Gurgler is not alive.","King Gurgler","7"
"96655-Dialogue.mod","Dimak is alive","Dialogue.mod","durable_world_fact","World state: Dimak is alive.","World state: Dimak is not alive.","Dimak","2"
"96689-Dialogue.mod","Sand Ninja Oni is alive","Dialogue.mod","durable_world_fact","World state: Sand Ninja Oni is alive.","World state: Sand Ninja Oni is not alive.","Sand Ninja Oni","1"
"97159-Dialogue.mod","Kana is not alive","Dialogue.mod","durable_world_fact","World state: Lady Kana is not alive; the player was involved in at least one of these changes.",,"Lady Kana | Sho-Battai","7"
"97160-Dialogue.mod","WORLD_EVENT_STATE","Dialogue.mod","ambiguous_empty_query",,,"","0"
"97165-Dialogue.mod","Lord Inaba is dead","Dialogue.mod","durable_world_fact","World state: Lord Inaba is dead; the player was involved in at least one of these changes.",,"Lord Inaba","1"
"97166-Dialogue.mod","Lord Nagata is dead","Dialogue.mod","durable_world_fact","World state: Lord Nagata is dead; the player was involved in at least one of these changes.",,"Lord Nagata","1"
"97167-Dialogue.mod","Lord Ohta is dead","Dialogue.mod","durable_world_fact","World state: Lord Ohta is dead; the player was involved in at least one of these changes.",,"Lord Ohta","1"
"97168-Dialogue.mod","Lord Sanda is dead","Dialogue.mod","durable_world_fact","World state: Lady Sanda is dead; the player was involved in at least one of these changes.",,"Lady Sanda","1"
"97169-Dialogue.mod","Lord Yoshinaga is dead","Dialogue.mod","durable_world_fact","World state: Lord Yoshinaga is dead; the player was involved in at least one of these changes.",,"Lord Yoshinaga","1"
"97172-Dialogue.mod","Lady Tsugi is dead","Dialogue.mod","durable_world_fact","World state: Lady Tsugi is dead; the player was involved in at least one of these changes.",,"Lady Tsugi","1"
"97173-Dialogue.mod","Lord Kana is dead","Dialogue.mod","durable_world_fact","World state: Lady Kana is alive; the player was involved in at least one of these changes.",,"Lady Kana","1"
"99118-Dialogue.mod","South hive queen kidnapped","Dialogue.mod","durable_world_fact","World state: Queen of the South is imprisoned; the player was involved in at least one of these changes.",,"Queen of the South","2"
