name,gender
Bryda,female
Caela,female
Caldera,female
Calla,female
Calva,female
Ceza,female
Daka,female
Dalka,female
Dalla,female
Dallith,female
Dara,female
Daxa,female
Dell,female
Delna,female
Denna,female
Denva,female
Dorna,female
Dortha,female
Dosa,female
Dra,female
Dralla,female
Draska,female
Drava,female
Drekka,female
Drenna,female
Drera,female
Drevith,female
Drevna,female
Drika,female
Drilla,female
Drinna,female
Dritha,female
Dronna,female
Droska,female
Drova,female
Druva,female
Elka,female
Enna,female
Etha,female
Ethra,female
Evra,female
Felska,female
Fenna,female
Fiala,female
Fiva,female
Fyla,female
Galena,female
Garna,female
Gavra,female
Getha,female
Gethra,female
Gortha,female
Gratha,female
Grava,female
Greda,female
Grelka,female
Greltha,female
Grenna,female
Grenya,female
Grova,female
Gyra,female
Gytha,female
Halda,female
Halka,female
Halva,female
Halya,female
Hella,female
Helta,female
Hesketh,female
Hetha,female
Hethna,female
Hira,female
Horna,female
Hova,female
Hyna,female
Iltha,female
Iska,female
Iva,female
Jala,female
Janna,female
Jarra,female
Jeska,female
Jetha,female
Jeva,female
Jira,female
Jorvanth,female
Jova,female
Junna,female
Kada,female
Kaela,female
Kalla,female
Kalva,female
Karna,female
Karneth,female
Katha,female
Katra,female
Kava,female
Kelta,female
Kessa,female
Ketha,female
Kethra,female
Kirna,female
Kiva,female
Korsa,female
Korta,female
Korva,female
Krava,female
Krenna,female
Kretha,female
Krevith,female
Krina,female
Krotha,female
Krova,female
Krysa,female
Krytha,female
Kyna,female
Lenna,female
Lerka,female
Letha,female
Litta,female
Lorra,female
Lova,female
Maelis,female
Maera,female
Maeza,female
Marna,female
Marnith,female
Mava,female
Mela,female
Merva,female
Meza,female
Mida,female
Mirela,female
Mitha,female
Mivra,female
Mora,female
Morna,female
Morra,female
Moxa,female
Moxra,female
Mura,female
Myra,female
Mytha,female
Nael,female
Narva,female
Nemra,female
Neritha,female
Netha,female
Nethka,female
Nimra,female
Nira,female
Nola,female
Nyla,female
Nylla,female
Nypha,female
Nysa,female
Nyska,female
Oka,female
Olka,female
Olvira,female
Oma,female
Orvana,female
Orya,female
Orynn,female
Orytha,female
Osa,female
Ostra,female
Othna,female
Otrya,female
Oveth,female
Ovra,female
Pala,female
Palla,female
Pela,female
Pella,female
Pelta,female
Peltara,female
Pelva,female
Pennic,female
Petha,female
Pethra,female
Polna,female
Prava,female
Prya,female
Pryla,female
Quina,female
Rava,female
Ravna,female
Renna,female
Retha,female
Rethka,female
Rethna,female
Rethra,female
Revna,female
Rilla,female
Rova,female
Rovna,female
Rykka,female
Rynna,female
Rytha,female
Sela,female
Selva,female
Senna,female
Serka,female
Setha,female
Shava,female
Shira,female
Sira,female
Skaela,female
Skaera,female
Skarla,female
Skelna,female
Sketha,female
Skeva,female
Skiva,female
Skorna,female
Skova,female
Skovith,female
Solka,female
Sorna,female
Sova,female
Sovra,female
Stava,female
Stavna,female
Stavya,female
Stelith,female
Stelna,female
Stetha,female
Steva,female
Storva,female
Stovra,female
Styna,female
Sulka,female
Syra,female
Sythna,female
Tala,female
Tarith,female
Tarra,female
Tarva,female
Tasva,female
Tava,female
Tavi,female
Thaena,female
Thalva,female
Theda,female
Thela,female
Thelka,female
Themma,female
Thira,female
Thova,female
Thyna,female
Tirra,female
Torva,female
Torveth,female
Tova,female
Tovra,female
Trella,female
Trenna,female
Treva,female
Trevna,female
Trova,female
Tyla,female
Tyna,female
Ula,female
Ulla,female
Ulva,female
Ura,female
Varna,female
Vaska,female
Vela,female
Velka,female
Velna,female
Venna,female
Vessa,female
Vethna,female
Vethra,female
Vexa,female
Vexra,female
Veyla,female
Vikka,female
Vilna,female
Vina,female
Vira,female
Vola,female
Volna,female
Vora,female
Vorena,female
Vorna,female
Vorneth,female
Vorsha,female
Vosha,female
Voska,female
Voskra,female
Votha,female
Vylka,female
Vyna,female
Vynra,female
Wela,female
Wetha,female
Wethra,female
Wyna,female
Wynna,female
Xantha,female
Xela,female
Xera,female
Xola,female
Yetha,female
Yla,female
Yola,female
Ysva,female
Ytha,female
Yvva,female
Zela,female
Zelvia,female
Zova,female
Zyntha,female
Arik,neutral
Baelnix,neutral
Balx,neutral
Blon,neutral
Brakel,neutral
Brakketh,neutral
Brald,neutral
Bralen,neutral
Bramble,neutral
Braskel,neutral
Braxen,neutral
Brem,neutral
Breth,neutral
Brevan,neutral
Brexis,neutral
Brimm,neutral
Brog,neutral
Brune,neutral
Calrax,neutral
Calx,neutral
Calxen,neutral
Carn,neutral
Cind,neutral
Cinder,neutral
Clavos,neutral
Covan,neutral
Crag,neutral
Crell,neutral
Crux,neutral
Dalmak,neutral
Dalx,neutral
Darra,neutral
Dorthen,neutral
Doru,neutral
Dov,neutral
Drail,neutral
Dralk,neutral
Drannik,neutral
Drash,neutral
Drask,neutral
Draske,neutral
Draveth,neutral
Dravex,neutral
Dravok,neutral
Drelka,neutral
Drelvik,neutral
Dren,neutral
Drethika,neutral
Drevath,neutral
Drevic,neutral
Drevnic,neutral
Drith,neutral
Drokka,neutral
Drostik,neutral
Drovic,neutral
Drox,neutral
Droxal,neutral
Droxen,neutral
Drukkar,neutral
Drunn,neutral
Druv,neutral
Druveth,neutral
Dust,neutral
Fen,neutral
Fendrel,neutral
Fenth,neutral
Frall,neutral
Fray,neutral
Frox,neutral
Galik,neutral
Galth,neutral
Galveth,neutral
Gannok,neutral
Gannor,neutral
Gar,neutral
Garn,neutral
Garr,neutral
Gartok,neutral
Gelt,neutral
Glinn,neutral
Grath,neutral
Gravel,neutral
Gravik,neutral
Gravus,neutral
Greld,neutral
Grellik,neutral
Grennix,neutral
Grenthar,neutral
Grenthor,neutral
Gretar,neutral
Grev,neutral
Grevik,neutral
Grex,neutral
Grit,neutral
Grost,neutral
Gruv,neutral
Halkar,neutral
Halmir,neutral
Halna,neutral
Hask,neutral
Havoc,neutral
Hes,neutral
Jael,neutral
Jalken,neutral
Jalth,neutral
Jorek,neutral
Kaelthos,neutral
Kal,neutral
Kaldur,neutral
Karnel,neutral
Karnic,neutral
Karnith,neutral
Kasta,neutral
Kaza,neutral
Kelm,neutral
Keltar,neutral
Ket,neutral
Keth,neutral
Kethrok,neutral
Kleth,neutral
Klod,neutral
Klyth,neutral
Kolt,neutral
Korda,neutral
Korlak,neutral
Korstev,neutral
Korvek,neutral
Korveth,neutral
Kram,neutral
Krax,neutral
Krellis,neutral
Kreth,neutral
Krevanix,neutral
Krevath,neutral
Krevor,neutral
Kril,neutral
Krolm,neutral
Krovaneth,neutral
Kroveth,neutral
Lera,neutral
Loth,neutral
Lux,neutral
Lyss,neutral
Makan,neutral
Maldok,neutral
Malk,neutral
Mare,neutral
Marneth,neutral
Marr,neutral
Mastul,neutral
Maul,neutral
Mesa,neutral
Molvik,neutral
Mor,neutral
Mordan,neutral
Mordrith,neutral
Morkan,neutral
Morn,neutral
Morvek,neutral
Mox,neutral
Murk,neutral
Nalk,neutral
Nalx,neutral
Nerva,neutral
Nol,neutral
Nolth,neutral
Nork,neutral
Null,neutral
Nyt,neutral
Nyx,neutral
Obsid,neutral
Olvren,neutral
Olyn,neutral
Orsa,neutral
Orvenn,neutral
Ostan,neutral
Ostran,neutral
Ostraveth,neutral
Ostravex,neutral
Ostravik,neutral
Othra,neutral
Othvek,neutral
Ovrath,neutral
Ovrek,neutral
Palk,neutral
Paltar,neutral
Pax,neutral
Pelghan,neutral
Pell,neutral
Peltar,neutral
Peltarix,neutral
Pelthos,neutral
Peltor,neutral
Peltreven,neutral
Peraxis,neutral
Perdak,neutral
Pethos,neutral
Pethran,neutral
Plakk,neutral
Plen,neutral
Pleth,neutral
Prakk,neutral
Pralith,neutral
Praloth,neutral
Prast,neutral
Prathos,neutral
Prelthar,neutral
Prenn,neutral
Prennar,neutral
Proth,neutral
Proveth,neutral
Provex,neutral
Provok,neutral
Pyl,neutral
Quell,neutral
Rasp,neutral
Raxen,neutral
Rethis,neutral
Revik,neutral
Rhuk,neutral
Roveth,neutral
Rovok,neutral
Rukka,neutral
Scorch,neutral
Sek,neutral
Selvik,neutral
Skael,neutral
Skaelth,neutral
Skaelvor,neutral
Skal,neutral
Skarnic,neutral
Skarnok,neutral
Skarnoth,neutral
Skarven,neutral
Skarveth,neutral
Skellith,neutral
Skenn,neutral
Sketh,neutral
Skethis,neutral
Skoth,neutral
Skoval,neutral
Skoveth,neutral
Skovr,neutral
Skovra,neutral
Skovrek,neutral
Smeck,neutral
Stak,neutral
Stelk,neutral
Stelth,neutral
Stelvik,neutral
Stenna,neutral
Stennik,neutral
Stral,neutral
Straveth,neutral
Stravik,neutral
Strell,neutral
Strev,neutral
Strevik,neutral
Strokk,neutral
Strynd,neutral
Stryx,neutral
Talvek,neutral
Tarlek,neutral
Tav,neutral
Tavik,neutral
Thal,neutral
Thallan,neutral
Thallon,neutral
Thalor,neutral
Thalox,neutral
Thelk,neutral
Thovin,neutral
Thrazen,neutral
Threkk,neutral
Threln,neutral
Threlna,neutral
Threvnix,neutral
Threx,neutral
Throkk,neutral
Throvik,neutral
Throx,neutral
Thrun,neutral
Thrusk,neutral
Tov,neutral
Tovak,neutral
Toveth,neutral
Tovik,neutral
Traveth,neutral
Trax,neutral
Trekkan,neutral
Trenn,neutral
Trevak,neutral
Trovik,neutral
Uthral,neutral
Valmir,neutral
Vantik,neutral
Vantor,neutral
Vareth,neutral
Velmir,neutral
Venn,neutral
Verath,neutral
Vesh,neutral
Veshk,neutral
Vesk,neutral
Veskar,neutral
Veskur,neutral
Vex,neutral
Vexal,neutral
Vexith,neutral
Vordeth,neutral
Vorek,neutral
Vorl,neutral
Vornis,neutral
Vorthen,neutral
Vorthik,neutral
Vox,neutral
Vranikal,neutral
Vrath,neutral
Vrax,neutral
Vrekash,neutral
Vrekk,neutral
Vrelnik,neutral
Vrennik,neutral
Vrit,neutral
Vrothik,neutral
Vulsk,neutral
Vurel,neutral
Vyr,neutral
Wrek,neutral
Wulf,neutral
Yel,neutral
Zentril,neutral
Zhal,neutral
